Degree,Descr,Short Desc,FormalDesc
XBCOM,Bachelor of Commerce,B.Comm.,Bachelor of Commerce
XBARCH,Bachelor of Architecture,B.Arch.,Bachelor of Architecture
XBENG,Bachelor of Engineering,B.Eng.,Bachelor of Engineering
XBLA,Bachelor of Liberal Arts,B.L.A.,Bachelor of Liberal Arts
XBPHIL,Bachelor of Philosophy,B.Phil.,Bachelor of Philosophy
XBT,Bachelor of Technology,B.Tech.,Bachelor of Technology
XDBA,Doctor of Business Administrat,D.B.A.,Doctor of Business Administration
XDPH,Doctor of Public Health,D.P.H.,Doctor of Public Health
XDDS,Doctor of Dental Surgery,D.D.S.,Doctor of Dental Surgery
XEDD,Doctor of Education,Ed.D.,Doctor of Education
XJD,Juris Doctor,J.D.,Juris Doctor
XLLB,Bachelor of Laws,LL.B.,Bachelor of Laws
XMA,Master of Arts,M.A.,Master of Arts
XMAUD,Master of Architecture in Urba,M.A.U.D.,Master of Architecture in Urban Design
XMD,Doctor of Medicine,M.D.,Doctor of Medicine
XMFS,Master of Forestry Science,M.F.S.,Master of Forestry Science
XMLAUD,Master of Landscape Architectu,M.L.A.U.D.,Master of Landscape Architecture in Urban Design
XMMR,Master in Management Research,M.M.R.,Master in Management Research
XMMSC,Master of Medical Science,M.M.Sc.,Master of Medical Science
XMPH,Master of Public Health,M.P.H.,Master of Public Health
XMPPUP,Master of Public Policy and Ur,MPPUP,Master of Public Policy and Urban Planning
XMTS,Master of Theological Studies,M.T.S.,Master of Theological Studies
XMUP,Master in Urban Planning,M.U.P.,Master in Urban Planning
XPHD,Doctor of Philosophy,Ph.D.,Doctor of Philosophy
XTHM,Master of Theology,Th.M.,Master of Theology
XALM,Master of Liberal Arts,A.L.M.,Master of Liberal Arts
XAA,Associate in Arts,A.A.,Associate in Arts
XBA,Bachelor of Arts,B.A.,Bachelor of Arts
XBBUS,Bachelor of Business,B.Bus.,Bachelor of Business
XBFA,Bachelor of Fine Arts,B.F.A.,Bachelor of Fine Arts
XBM,Bachelor of Music,B.M.,Bachelor of Music
XBMED,Bachelor of Biomedicine,B.B.Med.,Bachelor of Biomedicine
XBS,Bachelor of Science,B.S.,Bachelor of Science
XBVM,Bachelor of Veterinary Medicin,B.V.M.,Bachelor of Veterinary Medicine
XCERT,Certificate,Cert.,Certificate
XDDES,Doctor of Design,D.Des.,Doctor of Design
XDIPL,Diploma,Dipl.,Diploma
XDMD,Doctor of Dental Medicine,D.D.M.,Doctor of Dental Medicine
XDMSC,Doctor of Medical Science,D.M.Sc.,Doctor of Medical Science
XDPA,Doctor of Public Administratio,D.P.A.,Doctor of Public Administration
XDVM,Doctor of Veterinary Medicine,D.V.M.,Doctor of Veterinary Medicine
XEDLD,Doctor of Education Leadership,Ed.L.D.,Doctor of Education Leadership
XEDM,Master of Education,Ed.M.,Master of Education
XLICENSE,License,Lic.,License
XLLM,Master of Laws,L.L.M.,Master of Laws
XMARCH,Master of Architecture,M.Arch.,Master of Architecture
XMBA,Master in Business Administrat,M.B.A.,Master in Business Administration
XMCRP,Master of City and Regional Pl,M.C.R.P.,Master of City and Regional Planning
XMDES,Master in Design Studies,M.Des.,Master in Design Studies
XMDIV,Master of Divinity,M.Div.,Master of Divinity
XME,Master of Engineering,M.E.,Master of Engineering
XMLA,Master in Landscape Architectu,M.L.A.,Master in Landscape Architecture
XMOH,Master of Occupational Health,M.O.H.,Master of Occupational Health
XMPA,Master of Public Administratio,M.P.A.,Master of Public Administration
XMPHIL,Master of Philosophy,M.Phil.,Master of Philosophy
XMPP,Master of Public Policy,M.P.P.,Master of Public Policy
XMS,Master of Science,M.S.,Master of Science
XSJD,Doctor of Juridical Science,S.J.D.,Doctor of Juridical Science
XTHD,Doctor of Theology,Th.D.,Doctor of Theology
XDS,Doctor of Science,D.Sc.,Doctor of Science
XBACH,Bachelor Degree,B.A.,Bachelor Degree
XMASTER,Master,Master,Master
XOTHERCR,Other Credit,Other Cr,Other Credit
XOTHERDG,Other/Unknown Degree,Other Deg,Other/Unknown Degree
XABROAD,Study Abroad,Abroad,Study Abroad
XMAPSTAT,Master of Applied Science,M.A.Sc.,Master of Applied Science
XMHS,Master of Health Science,M.H.S.,Master of Health Science
XMUSM,Master of Music,M.Mus.,Master of Music
XMFA,Master of Fine Arts,M.F.A.,Master of Fine Arts
XMSM,Master of Science in Managemen,M.S.M.,Master of Science in Management
XBSFS,Bachelor of Science in Foreign,B.S.F.S.,Bachelor of Science in Foreign Service
XMAT,Master of Arts in Teaching,M.A.T.,Master of Arts in Teaching
XMBS,Master of Bioscience,MASTBIOSCI,Master of Bioscience
XMIA,Master of International Affair,M.I.A.,Master of International Affairs
XSMARCHS,MS in Architecture Studies,M.S.Arch.,MS in Architecture Studies
XJCL,Licentiate of Canon Law,J.C.L.,Licentiate of Canon Law
XMST,Master of Science in Teaching,M.S.T.,Master of Science in Teaching
XABJ,"Bachelor of Arts, Journalism",A.B.J.,"Bachelor of Arts, Journalism"
XAM,Master of Arts,A.M.,Master of Arts
XSCB,Bachelor of Science,Sc.B.,Bachelor of Science
XBASC,Bachelor of Arts and Science,B.A.Sc.,Bachelor of Arts and Science
XBL,Bachelor of Laws,B.L.,Bachelor of Laws
XMBBS,"Bachelor of Medicine, Surgery",M.B.B.S.,"Bachelor of Medicine, Bachelor of Surgery"
XBPHARM,Bachelor of Pharmacy,B.Pharm.,Bachelor of Pharmacy
XCAGS,Certificate of Advanced Gradua,C.A.G.S.,Certificate of Advanced Graduate Study
XBSN,Bachelor of Science in Nursing,B.S.N.,Bachelor of Science in Nursing
XOBO,Other Bachelor,OBO,Other Bachelor
XBCHE,Bachelor of Chemical Engineeri,B.Ch.E.,Bachelor of Chemical Engineering
XMSN,Master of Science in Nursing,M.S.N.,Master of Science in Nursing
XSTM,Master of Sacred Theology,S.T.M.,Master of Sacred Theology
XMAE,Maestria,MAE,Maestria
XMEDCIR,Medico Cirujano/a,MEDCIR,Medico Cirujano/a
XMIADM,Master Arts International Adm,M.A.I.A.,Master of Arts in International Administration
XDOC,Doctorado,DOC,Doctorado
XBSBE,Bachelor of Science Biomed Eng,B.S.B.E.,Bachelor of Science in Biomedical Engineering
XMSPH,Master of Science Public Hlth,M.P.H.,Master of Science in Public Health
XBHB,Bachelor of Human Biology,B.H.B.,Bachelor of Human Biology
XDCS,Doctor of Commercial Sciences,D.C.S,Doctor of Commercial Sciences
XBSP,Bach of Science in Pharmacy,B.S.P.,Bach of Science in Pharmacy
XBVSC,Bachelor of Veterinary Science,B.V.S.C,Bachelor of Veterinary Science
XBPT,Bachelor of Physical Therapy,B.P.T.,Bachelor of Physical Therapy
XDES,Doctor of Environmental Sci,D.E.S.,Doctor of Environmental Science
XMNS,Master of Natural Sciences,M.N.S.,Master of Natural Sciences
XMIHMEP,M of Int'l Hlth Care Mgmt,MIHMEP,Masters of International Health Care Management
