,Correct_Univ_1(my.harvard),org_id_1,Correct_Univ_2(my.harvard),org_id_2,Tested_Univ(madris),institution_id,Best_Rating
2,"('HARVARDDIVINITYSCHOOL', 100)",1000046757,"('CITYSCHOOL', 81)",1000039221,HARVARDDIVINITYSCHOOL,5029,100
3,"('SANTACLARAUNIVERSITY', 100)",1000044204,"('AIRUNIVERSITY', 83)",1000048899,SANTACLARAUNIVERSITY,2558,100
5,"('KINGABDULAZIZUNIVERSITY', 100)",SF000000224,"('KINGABDULAZIZUNIVERSITY', 100)",SF000000224,KINGABDULAZIZUNIVERSITY,5035,100
8,"('ANKARAUNIVERSITY', 100)",1000049642,"('SAKARYAUNIVERSITY', 91)",1000046018,ANKARAUNIVERSITY,5039,100
11,"('DRAKEUNIVERSITY', 100)",1000041481,"('DREWUNIVERSITY', 90)",1000041489,DRAKEUNIVERSITY,5046,100
12,"('GRINNELLCOLLEGE', 100)",1000041986,"('CORNELLCOLLEGE', 83)",1000041257,GRINNELLCOLLEGE,5049,100
0,"('UNIVERSITYOFKARACHI', 90)",1000047643,"('LEEUNIVERSITY', 83)",1000042723,BAQAIMEDICALCOLLEGEUNIVERSITYOFKARACHI,4963,90
10,"('UNIVERSITYSCHOOL', 90)",1000028711,"('UNIVERSITYSCHOOL', 90)",1000028711,CHUNGNAMNATIONALUNIVERSITYSCHOOLOFMEDSOUTHKOREA,5045,90
1,"('LASALLEUNIVERSITY', 88)",1000045904,"('AVILAUNIVERSITY', 87)",1000040401,LAVALUNIVERSITY,1586,88
9,"('HARVARDGRADUATESCHOOLDESIGN', 88)",1000046760,"('ISCHOOL', 77)",1000002555,HARVARDGRADSCHOOLOFDESIGN,5042,88
6,"('UNIVERSITYOFLYON', 85)",1000047587,"('UNIVERSITYOFLODZ', 85)",1000049325,GUYSHOSPITALUNIVERSITYOFLONDON,1131,85
4,"('TEDUNIVERSITY', 83)",1000046064,"('UNIVERSITYOFYORK', 80)",1000046219,STATEUNIVERSITYOFNEWYORK,5030,83
7,"('OREGONHEALTHANDSCIENCEUNIV', 82)",1000043708,"('TRINEUNIVERSITY', 78)",1000044827,OREGONHEALTH&SCIENCEUNIVERSITY,5037,82
