,Correct_Univ_1(my.harvard),Correct_Univ_2(my.harvard),Tested_Univ(madris),Best_Rating
23,"('PARACELSUSMEDICALUNIVERSITY', 100)","('ACHMEDICALUNIVERSITY', 81)",PARACELSUSMEDICALUNIVERSITY,100
13,"('TERNAMEDICALCOLLEGE', 100)","('GRANTMEDICALCOLLEGE', 84)",TERNAMEDICALCOLLEGE,100
2,"('HARVARDDIVINITYSCHOOL', 100)","('CITYSCHOOL', 81)",HARVARDDIVINITYSCHOOL,100
3,"('SANTACLARAUNIVERSITY', 100)","('AIRUNIVERSITY', 83)",SANTACLARAUNIVERSITY,100
47,"('DEPAULUNIVERSITY', 100)","('DEPAULUNIVERSITY', 100)",DEPAULUNIVERSITY,100
5,"('KINGABDULAZIZUNIVERSITY', 100)","('KINGABDULAZIZUNIVERSITY', 100)",KINGABDULAZIZUNIVERSITY,100
45,"('SANTAMONICACOLLEGE', 100)","('SANTAMONICACOLLEGE', 100)",SANTAMONICACOLLEGE,100
25,"('UNIVERSITYOFCOLOGNE', 100)","('UNIVERSITYOFBOLOGNA', 89)",UNIVERSITYOFCOLOGNE,100
8,"('ANKARAUNIVERSITY', 100)","('SAKARYAUNIVERSITY', 91)",ANKARAUNIVERSITY,100
29,"('SAINTJOHNSCOLLEGE', 100)","('SAINTJOHNSCOLLEGE', 100)",SAINTJOHNSCOLLEGE,100
11,"('DRAKEUNIVERSITY', 100)","('DREWUNIVERSITY', 90)",DRAKEUNIVERSITY,100
12,"('GRINNELLCOLLEGE', 100)","('CORNELLCOLLEGE', 83)",GRINNELLCOLLEGE,100
32,"('BJMEDICALCOLLEGE', 91)","('NRSMEDICALCOLLEGE', 88)",JSSMEDICALCOLLEGE,91
48,"('KRISHNAINSTITUTEOFMEDSCI', 91)","('INDIANINSTITUTEOFSCIENCE', 79)",KRISHNAINSTITUTEOFMEDSCIENCES,91
36,"('HANYANGUNIVERSITY', 90)","('ANYANGUNIVERSITY', 90)",HANYANGUNIVERSITYCOLLEGEOFMEDICINE,90
19,"('UNIVERSITYSCHOOL', 90)","('UNIVERSITYSCHOOL', 90)",RYUKYUSUNIVERSITYSCHOOLOFMEDICINE,90
41,"('UNIVERSIDADMAYOR', 90)","('UNIVERSIDADMAYORSANANDREAS', 83)",UNIVERSIDADMAYORDESANANDRESFACULTYOFMEDICINE,90
38,"('UNIVERSITYOFEASTANGLIA', 90)","('UNIVERSITYOFPECS', 79)",UNIVERSITYOFEASTANGLIAFACULTYOFMEDICINE,90
0,"('UNIVERSITYOFKARACHI', 90)","('LEEUNIVERSITY', 83)",BAQAIMEDICALCOLLEGEUNIVERSITYOFKARACHI,90
17,"('UNIVERSITYSCHOOL', 90)","('UNIVERSITYSCHOOL', 90)",EULJIUNIVERSITYSCHOOLOFMEDICINE,90
10,"('UNIVERSITYSCHOOL', 90)","('UNIVERSITYSCHOOL', 90)",CHUNGNAMNATIONALUNIVERSITYSCHOOLOFMEDSOUTHKOREA,90
1,"('LASALLEUNIVERSITY', 88)","('AVILAUNIVERSITY', 87)",LAVALUNIVERSITY,88
9,"('HARVARDGRADUATESCHOOLDESIGN', 88)","('ISCHOOL', 77)",HARVARDGRADSCHOOLOFDESIGN,88
37,"('GOAMEDICALCOLLEGE', 88)","('DOWMEDICALCOLLEGE', 88)",WAHMEDICALCOLLEGE,88
35,"('UNIVDESANMARTINDEPORRES', 86)","('UNIVERSIDADDESANANDRES', 80)",UNIVERSIDADSANMARTINDEPORRES,86
6,"('UNIVERSITYOFLYON', 85)","('UNIVERSITYOFLODZ', 85)",GUYSHOSPITALUNIVERSITYOFLONDON,85
46,"('UNIVERSIDADDELVALLE', 84)","('UNIVERSIDADPRIVADABOLIVIANA', 79)",UNIVERSIDADPRIVADADELVALLE,84
39,"('KAZANSTATEMEDICALUNIVERSITY', 84)","('CRIMEASTATEMEDICALUNIVERSIT', 84)",ODESSASTATEMEDICALUNIVERSITY,84
18,"('DQUNIVERSITY', 83)","('ACADIAUNIVERSITY', 79)",DECCANMEDICALCOLLVIJAYAWADAUNIVERSITY,83
4,"('TEDUNIVERSITY', 83)","('UNIVERSITYOFYORK', 80)",STATEUNIVERSITYOFNEWYORK,83
16,"('SHANGHAIUNIVERSITY', 83)","('AIRUNIVERSITY', 83)",SHENYANGPHARMUNIVERSITY,83
28,"('BELLARMINEUNIVERSITY', 83)","('MARIANUNIVERSITY', 81)",BELARUSSIANUNIVERSITY,83
7,"('OREGONHEALTHANDSCIENCEUNIV', 82)","('TRINEUNIVERSITY', 78)",OREGONHEALTH&SCIENCEUNIVERSITY,82
24,"('UCLAMEDICALSCHOOL', 82)","('MAYOMEDICALSCHOOL', 82)",SAGAMEDICALSCHOOL,82
31,"('VISTASCHOOL', 82)","('VISTASCHOOL', 82)",SANJUANBAUTISTASCHOOLOFMEDICINE,82
21,"('OMANMEDICALCOLLEGE', 82)","('OSMANIAMEDICALCOLLEGE', 81)",TIANJINMEDICALCOLLEGE,82
34,"('BSNMEDICAL', 81)","('INSTITUTOEAU', 77)",MANBA-DATSANMEDICALINSTITUTE,81
33,"('UNIVERSITYOFLIBERIA', 80)","('UNIVERSITYOFBERNE', 79)",UNIVERSITYOFIBEROAMERICAFACULTYOFMEDICINE,80
30,"('KUSCHOOLOFMEDICINE', 80)","('GISCHOOL', 79)",ALBERT-SZENT-GYORGYSCHOOLOFMEDICINE,80
40,"('KASTURBAMEDICALCOLLEGE', 80)","('LADYHARDINGEMEDICALCOLLEGE', 78)",KAOSHIUNGMEDICALCOLLEGE,80
