,Correct_Univ_1(my.harvard),org_id_1,Correct_Univ_2(my.harvard),org_id_2,Tested_Univ(madris),institution_id,Best_Rating
1633,"('EASTCHINANORMALUNIVERSITY', 100)",1000046637,"('CENTRALCHINANORMALUNIVERSIT', 85)",1000048797,EASTCHINANORMALUNIVERSITY,800,100
1074,"('UNIVERSITYOFILORIN', 100)",1000049022,"('UNIVERSITYOFLORRAINE', 89)",1000048875,UNIVERSITYOFILORIN,4220,100
1072,"('UNIVERSITYOFMALAWI', 100)",1000047656,"('UNIVERSITYOFMALTA', 91)",1000047657,UNIVERSITYOFMALAWI,5410,100
1532,"('UNIVERSITYOFBRISTOL', 100)",1000046172,"('UNIVERSITYOFTRIESTE', 84)",1000000905,UNIVERSITYOFBRISTOL,3486,100
390,"('VASSARCOLLEGE', 100)",1000045328,"('ASACOLLEGE', 87)",1000049378,VASSARCOLLEGE,3878,100
1541,"('UNIVERSITYOFCAPETOWN', 100)",1000046175,"('UNIVERSITYOFJAMESTOWN', 88)",1000045232,UNIVERSITYOFCAPETOWN,3506,100
386,"('NAGOYAUNIVERSITY', 100)",1000049356,"('NAGOYAUNIVERSITYINTLPROGRAM', 90)",1000045956,NAGOYAUNIVERSITY,1984,100
1545,"('MOUNTAINVIEWCOLLEGE', 100)",1000000944,"('MOUNTAINSTATECOLLEGE', 82)",1000043284,MOUNTAINVIEWCOLLEGE,5569,100
1547,"('CAYUGACOMMUNITYCOLLEGE', 100)",1000000300,"('KAUAICOMMUNITYCOLLEGE', 88)",1000000548,CAYUGACOMMUNITYCOLLEGE,5571,100
1548,"('CANISIUSCOLLEGE', 100)",1000040793,"('CITRUSCOLLEGE', 79)",1000000477,CANISIUSCOLLEGE,5572,100
1549,"('ONONDAGACOMMUNITYCOLLEGE', 100)",1000000369,"('CORNINGCOMMUNITYCOLLEGE', 85)",1000000314,ONONDAGACOMMUNITYCOLLEGE,5573,100
1552,"('UNIVERSITYOFPUERTORICO', 100)",1000000119,"('UNIVERSITYPUERTORICOSCHOOL', 83)",1000034738,UNIVERSITYOFPUERTORICO,5575,100
1553,"('WILLIAMRAINEYHARPERCOLLEGE', 100)",1000045571,"('WILLIAMRHARPERCOLLEGE', 89)",1000000275,WILLIAMRAINEYHARPERCOLLEGE,5576,100
1554,"('IRVINEVALLEYCOLLEGE', 100)",1000042331,"('ALLENCOLLEGE', 83)",1000040180,IRVINEVALLEYCOLLEGE,5577,100
375,"('UTAHSTATEUNIVERSITY', 100)",1000045297,"('AUGUSTASTATEUNIVERSITY', 88)",1000049346,UTAHSTATEUNIVERSITY,3866,100
374,"('ELCAMINOCOLLEGE', 100)",1000000526,"('CAMPIONCOLLEGE', 83)",1000039709,ELCAMINOCOLLEGE,5263,100
1557,"('CATHOLICUNIVERSITYOFLOUVAIN', 100)",1000047586,"('CATHOLICUNIVERSITYOFLILLE', 85)",1000046447,CATHOLICUNIVERSITYOFLOUVAIN,417,100
1560,"('MIAMIUNIVERSITY', 100)",1000043091,"('MEIJIUNIVERSITY', 87)",1000045938,MIAMIUNIVERSITY,1870,100
369,"('ALEXANDRIAUNIVERSITY', 100)",1000046276,"('NALANDAUNIVERSITY', 86)",1000049873,ALEXANDRIAUNIVERSITY,73,100
1562,"('MICHIGANSTATEUNIVERSITY', 100)",1000043100,"('MICHIGANTECHUNIVERSITY', 89)",1000043101,MICHIGANSTATEUNIVERSITY,1872,100
1563,"('MIDDLEBURYCOLLEGE', 100)",1000043119,"('HAILEYBURYCOLLEGE', 82)",1000036872,MIDDLEBURYCOLLEGE,1879,100
1566,"('MIDWESTERNSTATEUNIVERSITY', 100)",1000043131,"('MIDWESTERNUNIVERSITYIL', 85)",1000043133,MIDWESTERNSTATEUNIVERSITY,1889,100
1567,"('MILLSCOLLEGE', 100)",1000043152,"('MILESCOLLEGE', 92)",1000043139,MILLSCOLLEGE,1900,100
1568,"('MILLSAPSCOLLEGE', 100)",1000043154,"('PS', 90)",1000020979,MILLSAPSCOLLEGE,1901,100
1054,"('UNIVERSITYOFNAIROBI', 100)",1000048852,"('UNIVERSITYOFNAIROBI', 100)",1000048852,UNIVERSITYOFNAIROBI,3668,100
1576,"('MISSISSIPPISTATEUNIVERSITY', 100)",1000043182,"('TEDUNIVERSITY', 83)",1000046064,MISSISSIPPISTATEUNIVERSITY,1916,100
1579,"('VILLANOVAUNIVERSITY', 100)",1000045356,"('AVILAUNIVERSITY', 82)",1000040401,VILLANOVAUNIVERSITY,3893,100
1584,"('WAKEFORESTUNIVERSITY', 100)",1000045388,"('AVERETTUNIVERSITY', 81)",1000040398,WAKEFORESTUNIVERSITY,3913,100
1589,"('WASHINGTONUNIVERSITY', 100)",SF000001252,"('ASTONUNIVERSITY', 86)",1000049661,WASHINGTONUNIVERSITY,3933,100
1048,"('UNIVERSITYOFMONTEMORELOS', 100)",1000049685,"('UNIVERSITYOFMONTEVALLO', 83)",1000045238,UNIVERSITYOFMONTEMORELOS,3653,100
1591,"('WAYNESTATEUNIVERSITY', 100)",1000045439,"('ANGELOSTATEUNIVERSITY', 88)",1000040256,WAYNESTATEUNIVERSITY,3942,100
1529,"('UNIVERSITYOFMUMBAI', 100)",1000047662,"('UNIVERSITYOFDUBAI', 91)",1000046176,UNIVERSITYOFMUMBAI,3478,100
398,"('NATIONALTAIWANUNIVERSITY', 100)",1000047419,"('NATIONALTAIWANUNIVERSITYMED', 94)",1000048803,NATIONALTAIWANUNIVERSITY,2028,100
1595,"('WELLESLEYCOLLEGE', 100)",1000045457,"('WESLEYCOLLEGE', 90)",1000037733,WELLESLEYCOLLEGE,3949,100
1525,"('UNIVERSITYOFBERGEN', 100)",1000047607,"('UNIVERSITYOFBERGEN', 100)",1000047607,UNIVERSITYOFBERGEN,3469,100
1463,"('UNIVERSITYOFOVIEDO', 100)",1000049341,"('UNIVERSITYOFTOLEDO', 89)",1000000266,UNIVERSITYOFOVIEDO,5562,100
1106,"('SEATTLEUNIVERSITY', 100)",1000044263,"('SAINTLEOUNIVERSITY', 86)",1000044137,SEATTLEUNIVERSITY,5537,100
1471,"('CLARKUNIVERSITY', 100)",1000041015,"('CLARKEUNIVERSITYIA', 91)",1000041017,CLARKUNIVERSITY,549,100
1477,"('COLLEGEOFSANMATEO', 100)",1000000482,"('COLLSANMATEO', 83)",1000041103,COLLEGEOFSANMATEO,580,100
436,"('UNIVERSITYOFUTAH', 100)",1000045175,"('UNIVERSITYOFBATH', 88)",1000046167,UNIVERSITYOFUTAH,3261,100
435,"('UNIVERSITYOFTULSA', 100)",1000045173,"('UNIVERSITYOFLAW', 88)",1000049172,UNIVERSITYOFTULSA,3259,100
433,"('UNIVERSITYOFTHEPACIFIC', 100)",1000045254,"('UNIVERSITYOFHAIFA', 82)",1000047632,UNIVERSITYOFTHEPACIFIC,3256,100
1482,"('SEOULNATIONALUNIVERSITY', 100)",1000046028,"('SEOULNATIONALUNIVERSITYOFS', 94)",1000049721,SEOULNATIONALUNIVERSITY,2583,100
1483,"('COLLEGEOFSTCATHERINE', 100)",1000000983,"('COLLEGEOFMARIN', 76)",1000041125,COLLEGEOFSTCATHERINE,584,100
1489,"('BELLEVUECOLLEGE', 100)",1000040488,"('BEALCOLLEGE', 77)",1000000399,BELLEVUECOLLEGE,5484,100
1490,"('CARLETONUNIVERSITY', 100)",1000045746,"('CAPEBRETONUNIVERSITY', 89)",1000045742,CARLETONUNIVERSITY,5485,100
1492,"('CENTRALMICHIGANUNIVERSITY', 100)",1000040893,"('CENTRALAMERICANUNIVERSITY', 88)",1000049044,CENTRALMICHIGANUNIVERSITY,5486,100
1494,"('UNIVERSITYOFADELAIDE', 100)",1000046163,"('UNIVERSITYOFDELHI', 86)",1000047623,UNIVERSITYOFADELAIDE,3433,100
1497,"('COLLEGEOFDUPAGE', 100)",1000000128,"('COLLEGEOFEUROPE', 80)",1000000521,COLLEGEOFDUPAGE,5488,100
710,"('PENINSULACOLLEGE', 100)",1000043789,"('MONTEREYPENINSULACOLLEGE', 90)",1000000567,PENINSULACOLLEGE,2310,100
1499,"('UNIVERSITYOFALGIERS', 100)",1000048923,"('UNIVERSITYOFWALES', 89)",1000047722,UNIVERSITYOFALGIERS,3438,100
1500,"('DUQUESNEUNIVERSITY', 100)",1000041505,"('QUEENSUNIVERSITY', 82)",1000045996,DUQUESNEUNIVERSITY,5489,100
419,"('UNIVERSITYOFSOUTHERNMAINE', 100)",1000045248,"('UNIVERSITYOFSOUTHERNDENMARK', 85)",1000049268,UNIVERSITYOFSOUTHERNMAINE,3225,100
1502,"('UNIVERSITYOFAMSTERDAM', 100)",1000047598,"('UNIVERSITYOFMUENSTER', 83)",1000047661,UNIVERSITYOFAMSTERDAM,3441,100
1503,"('EVERGREENVALLEYCOLLEGE', 100)",1000000517,"('EVERGREENSTATECOLLEGE', 84)",1000041680,EVERGREENVALLEYCOLLEGE,5490,100
1507,"('RICHLANDCOLLEGE', 100)",1000000971,"('RICHARDBLANDCOLLEGE', 88)",1000000782,RICHLANDCOLLEGE,5493,100
414,"('UNIVERSITYOFSOUTHFLORIDA', 100)",1000045148,"('UNIVERSITYOFSOUTHAFRICA', 89)",1000047696,UNIVERSITYOFSOUTHFLORIDA,3218,100
1508,"('SADDLEBACKCOLLEGE', 100)",1000044126,"('ADLERCOLLEGE', 76)",1000034546,SADDLEBACKCOLLEGE,5494,100
1510,"('SANDIEGOMESACOLLEGE', 100)",1000044167,"('SANDIEGOMIRAMARCOLLEGE', 83)",1000000624,SANDIEGOMESACOLLEGE,5495,100
1511,"('SANJOSECITYCOLLEGE', 100)",1000000611,"('FRESNOCITYCOLLEGE', 80)",1000000529,SANJOSECITYCOLLEGE,5496,100
1513,"('UNIVERSITYOFATHENS', 100)",1000047599,"('NATIONALANDKAPODISTRIANUNIVERSITYOFATHENS', 90)",1000047074,UNIVERSITYOFATHENS,3452,100
405,"('NATIONALUNIVERSITYOFIRAN', 100)",1000047100,"('NATIONALUNIVERSITYOFIRELAND', 94)",1000047101,NATIONALUNIVERSITYOFIRAN,2037,100
1079,"('BOWIESTATEUNIVERSITY', 100)",1000040614,"('BOISESTATEUNIVERSITY', 95)",1000040595,BOWIESTATEUNIVERSITY,5547,100
1077,"('UNIVERSITYOFIBADAN', 100)",1000047637,"('UNIVERSITYOFIDAHO', 86)",1000045230,UNIVERSITYOFIBADAN,5521,100
1046,"('UNIVERSITYOFMILAN', 100)",1000049205,"('UNIVERSITYOFICELAND', 89)",1000047638,UNIVERSITYOFMILAN,3648,100
1598,"('WESTVALLEYCOLLEGE', 100)",1000000649,"('WESLEYCOLLEGE', 87)",1000037733,WESTVALLEYCOLLEGE,3970,100
443,"('UNIVERSITYOFWASHINGTON', 100)",1000045260,"('UNIVERSITYOFSAIGON', 85)",1000047687,UNIVERSITYOFWASHINGTON,3270,100
1028,"('MARYMOUNTMANHATTANCOLLEGE', 100)",1000042951,"('MANHATTANCOLLEGE', 90)",1000042905,MARYMOUNTMANHATTANCOLLEGE,5450,100
297,"('QUINNIPIACUNIVERSITY', 100)",1000043938,"('QUINCYUNIVERSITY', 83)",1000043936,QUINNIPIACUNIVERSITY,5447,100
1659,"('FLINDERSUNIVERSITY', 100)",1000045815,"('LANDERUNIVERSITY', 88)",1000042677,FLINDERSUNIVERSITY,969,100
1026,"('UNIVERSITYOFLAGOS', 100)",1000048840,"('UNIVERSITYOFLAGOS', 100)",1000048840,UNIVERSITYOFLAGOS,3602,100
1664,"('RHODESCOLLEGE', 100)",1000044020,"('ODESSACOLLEGE', 85)",1000000962,RHODESCOLLEGE,4400,100
1665,"('FREEUNIVERSITYOFBERLIN', 100)",1000046704,"('LEEUNIVERSITY', 83)",1000042723,FREEUNIVERSITYOFBERLIN,1007,100
1024,"('UNIVERSITYOFTOLEDO', 100)",1000000266,"('UNIVERSITYOFOVIEDO', 89)",1000049341,UNIVERSITYOFTOLEDO,5445,100
1680,"('COLLEGEOFTHEHOLYCROSS', 100)",1000041087,"('ACADEMYOFTHEHOLYCROSS', 76)",1000014888,COLLEGEOFTHEHOLYCROSS,595,100
1682,"('HANNOVERMEDICALSCHOOL', 100)",1000049440,"('HARVARDMEDICALSCHOOL', 83)",1000046764,HANNOVERMEDICALSCHOOL,1157,100
1020,"('UNIVERSITYOFKHARTOUM', 100)",1000049019,"('UNIVERSITYOFTARTU', 86)",SF000001361,UNIVERSITYOFKHARTOUM,3596,100
1685,"('COLBYCOLLEGE', 100)",1000041069,"('COLBYCMTYCOLLEGE', 86)",1000041068,COLBYCOLLEGE,603,100
1686,"('COLGATEUNIVERSITY', 100)",1000041074,"('GOLDENGATEUNIVERSITY', 86)",1000041915,COLGATEUNIVERSITY,620,100
283,"('BALLSTATEUNIVERSITY', 100)",1000040428,"('BAKUSTATEUNIVERSITY', 89)",1000048926,BALLSTATEUNIVERSITY,178,100
282,"('AUGUSTANACOLLEGE', 100)",1000040387,"('AUGUSTANACOLLEGEIL', 94)",1000040388,AUGUSTANACOLLEGE,152,100
281,"('AUGSBURGCOLLEGE', 100)",1000040385,"('LOUISBURGCOLLEGE', 84)",1000000744,AUGSBURGCOLLEGE,150,100
280,"('AUBURNUNIVERSITY', 100)",1000040384,"('ASBURYUNIVERSITY', 88)",1000040352,AUBURNUNIVERSITY,149,100
279,"('AUBURNUNIVERSITY', 100)",1000040384,"('ASBURYUNIVERSITY', 88)",1000040352,AUBURNUNIVERSITY,148,100
278,"('ASSUMPTIONCOLLEGE', 100)",1000040366,"('IONACOLLEGE', 86)",1000042318,ASSUMPTIONCOLLEGE,138,100
277,"('ARIZONASTATEUNIVERSITY', 100)",1000040296,"('WINONASTATEUNIVERSITY', 88)",1000045590,ARIZONASTATEUNIVERSITY,124,100
276,"('ANTIOCHCOLLEGE', 100)",1000040265,"('SANTIAGOCOLLEGE', 83)",1000039964,ANTIOCHCOLLEGE,114,100
275,"('ANDREWSUNIVERSITY', 100)",1000040254,"('STANDREWSUNIVERSITY', 94)",1000044504,ANDREWSUNIVERSITY,104,100
274,"('AMHERSTCOLLEGE', 100)",1000040240,"('AMHERSTCOLLEGEPREPSCHOOL', 90)",1000005387,AMHERSTCOLLEGE,98,100
273,"('AMERICANUNIVERSITY', 100)",1000040238,"('AMERICANUNIVERSITYCARIBBEAN', 90)",1000040234,AMERICANUNIVERSITY,94,100
272,"('ALLEGHENYCOLLEGE', 100)",1000040177,"('ALLENCOLLEGE', 86)",1000040180,ALLEGHENYCOLLEGE,80,100
1687,"('COLORADOCOLLEGE', 100)",1000041146,"('CONCORDCOLLEGE', 83)",1000037239,COLORADOCOLLEGE,644,100
269,"('ALABAMASTATEUNIVERSITY', 100)",1000040150,"('ALBANYSTATEUNIVERSITY', 88)",1000040159,ALABAMASTATEUNIVERSITY,50,100
1016,"('UNIVERSITYOFJORDAN', 100)",1000047642,"('UNIVERSITYOFBURDWAN', 86)",1000047615,UNIVERSITYOFJORDAN,3592,100
267,"('NATIONALTSINGHUAUNIVERSITY', 100)",1000048857,"('NATIONALTSING-HUAUNIVERSITY', 98)",1000047097,NATIONALTSINGHUAUNIVERSITY,5553,100
1693,"('COLUMBIACOLLEGE', 100)",1000041163,"('COLUMBIACOLLEGEMO', 94)",1000041167,COLUMBIACOLLEGE,653,100
265,"('VITUNIVERSITY', 100)",1000049429,"('CITYUNIVERSITY', 89)",1000046512,VITUNIVERSITY,5439,100
299,"('ECKERDCOLLEGE', 100)",1000041556,"('COKERCOLLEGE', 88)",1000041066,ECKERDCOLLEGE,5535,100
749,"('UNIVERSITYOFCAMBRIDGE', 100)",SF000001409,"('UNIVERSITYOFCAMBRIDGE', 100)",SF000001409,UNIVERSITYOFCAMBRIDGE,5222,100
347,"('ADDISABABAUNIVERSITY', 100)",1000046256,"('ACADIAUNIVERSITY', 78)",1000045677,ADDISABABAUNIVERSITY,24,100
303,"('UNIVERSIDADDECORDOBA', 100)",1000049558,"('UNIVERSIDADDESONORA', 82)",1000049232,UNIVERSIDADDECORDOBA,5305,100
1044,"('UNIVERSITYOFMELBOURNE', 100)",1000046192,"('UNIVERSITYOFLUCERNE', 85)",SF000000995,UNIVERSITYOFMELBOURNE,3644,100
1040,"('UNIVERSITYOFMANCHESTER', 100)",1000046116,"('UNIVERSITYOFCHESTER', 93)",1000049626,UNIVERSITYOFMANCHESTER,3635,100
1603,"('WESTERNMARYLANDCOLLEGE', 100)",1000047761,"('NAYLANDCOLLEGE', 84)",1000036993,WESTERNMARYLANDCOLLEGE,3985,100
737,"('UNIVERSIDADDELOSANDES', 100)",1000046149,"('UNIVERSIDADDELOSANDESCHILE', 89)",1000049064,UNIVERSIDADDELOSANDES,3347,100
338,"('DOWLINGCOLLEGE', 100)",1000041479,"('COLLINCOLLEGE', 81)",1000041140,DOWLINGCOLLEGE,5179,100
1619,"('BANGALOREUNIVERSITY', 100)",1000047602,"('BAYLORUNIVERSITY', 86)",1000040475,BANGALOREUNIVERSITY,184,100
334,"('OHIOWESLEYANUNIVERSITY', 100)",1000043673,"('WESLEYANUNIV', 90)",1000045464,OHIOWESLEYANUNIVERSITY,2214,100
1625,"('PONCESCHOOLOFMEDICINE', 100)",1000047220,"('UCONNSCHOOLOFMEDICINE', 86)",1000048909,PONCESCHOOLOFMEDICINE,5500,100
331,"('OGLETHORPEUNIVERSITY', 100)",1000043645,"('GLOBEUNIVERSITY', 80)",1000041908,OGLETHORPEUNIVERSITY,2188,100
330,"('OCCIDENTALCOLLEGE', 100)",1000043636,"('IDEALCOLLEGE', 83)",1000035014,OCCIDENTALCOLLEGE,2186,100
1627,"('DOWMEDICALCOLLEGE', 100)",1000046905,"('GOAMEDICALCOLLEGE', 88)",1000046725,DOWMEDICALCOLLEGE,776,100
328,"('OAKWOODUNIVERSITY', 100)",1000043634,"('LONGWOODUNIVERSITY', 86)",1000042812,OAKWOODUNIVERSITY,2183,100
1037,"('UNIVERSITYOFMALAYA', 100)",1000049221,"('UNIVERSITYOFMALTA', 91)",1000047657,UNIVERSITYOFMALAYA,3632,100
326,"('NORWICHUNIVERSITY', 100)",1000043614,"('CITYLABNORWICHUNIVERSITYIN', 90)",1000049404,NORWICHUNIVERSITY,2172,100
325,"('KMSHAHDENTALCOLLEGE', 100)",1000049920,"('RVDENTALCOLLEGE', 76)",1000049035,KMSHAHDENTALCOLLEGE,5559,100
323,"('NORTHWESTERNUNIVERSITY', 100)",1000043611,"('NORTHEASTERNUNIVERSITY', 95)",1000000104,NORTHWESTERNUNIVERSITY,2169,100
1032,"('UNIVERSITYOFLJUBLJANA', 100)",1000049003,"('UNIVERSITYOFBATNA', 84)",1000048924,UNIVERSITYOFLJUBLJANA,3619,100
321,"('HILLSDALECOLLEGE', 100)",1000042134,"('HILLCOLLEGE', 81)",1000000913,HILLSDALECOLLEGE,5444,100
743,"('URSINUSCOLLEGE', 100)",1000045279,"('URSULINECOLLEGE', 83)",1000045280,URSINUSCOLLEGE,5176,100
744,"('INHAUNIVERSITY', 100)",1000046819,"('MINIAUNIVERSITY', 90)",1000047041,INHAUNIVERSITY,4850,100
1637,"('JAMESMADISONUNIVERSITY', 100)",1000042449,"('JUDSONUNIVERSITY', 79)",1000042522,JAMESMADISONUNIVERSITY,1378,100
745,"('SHARIFUNIVERSITYOFTECHNOLOGY', 100)",1000047338,"('WUHANUNIVERSITYOFTECHNOLOGY', 87)",1000000408,SHARIFUNIVERSITYOFTECHNOLOGY,5182,100
312,"('ISLAMICAZADUNIVERSITY', 100)",1000046866,"('MICA', 90)",1000049303,ISLAMICAZADUNIVERSITY,5332,100
1642,"('JOHNCARROLLUNIVERSITY', 100)",1000042480,"('CARROLLUNIVERSITY', 89)",1000040833,JOHNCARROLLUNIVERSITY,1404,100
309,"('HOFSTRAUNIVERSITY', 100)",1000042153,"('POSTUNIVERSITY', 84)",1000043885,HOFSTRAUNIVERSITY,5329,100
308,"('ELONUNIVERSITY', 100)",1000041612,"('BELMONTUNIVERSITY', 90)",1000040494,ELONUNIVERSITY,5328,100
307,"('BOSTONCONSERVATORY', 100)",1000040605,"('SOUTHSHORECONSERVATORY', 75)",1000015325,BOSTONCONSERVATORY,5327,100
747,"('KENTSTATEUNIVERSITY', 100)",1000042585,"('KENTSTATEUNIVERSITY', 100)",1000042585,KENTSTATEUNIVERSITY,5193,100
304,"('NORTHERNMICHIGANUNIVERSITY', 100)",1000043554,"('EASTERNMICHIGANUNIVERSITY', 86)",1000041539,NORTHERNMICHIGANUNIVERSITY,2148,100
1462,"('POMONACOLLEGE', 100)",1000043875,"('IONACOLLEGE', 83)",1000042318,POMONACOLLEGE,541,100
1461,"('UNIVERSITYOFDHAKA', 100)",1000048881,"('UNIVERSITYOFGHANA', 88)",1000047629,UNIVERSITYOFDHAKA,5550,100
1014,"('CARLETONCOLLEGE', 100)",1000040818,"('DARTONCOLLEGE', 86)",1000000662,CARLETONCOLLEGE,389,100
1181,"('LAKEHEADUNIVERSITY', 100)",1000045907,"('LEEUNIVERSITY', 84)",1000042723,LAKEHEADUNIVERSITY,5565,100
1178,"('HAMLINEUNIVERSITY', 100)",1000042019,"('MIEUNIVERSITY', 87)",1000049151,HAMLINEUNIVERSITY,1151,100
593,"('FORDHAMUNIVERSITY', 100)",1000041772,"('FLORIDAAMUNIVERSITY', 89)",1000041738,FORDHAMUNIVERSITY,985,100
1253,"('OSMANIAUNIVERSITY', 100)",1000047178,"('OSAKAUNIVERSITY', 88)",1000045984,OSMANIAUNIVERSITY,2244,100
1254,"('MARQUETTEUNIVERSITY', 100)",1000042936,"('MARQUETTEUNIVERSITYHS', 95)",1000033978,MARQUETTEUNIVERSITY,1758,100
588,"('FLORIDASTATEUNIVERSITY', 100)",1000041760,"('FLORIDASTATEUNIVERSITYSCH', 94)",1000008472,FLORIDASTATEUNIVERSITY,980,100
584,"('UNIVERSITYOFRENNES1', 100)",1000049622,"('UNIVERSITYOFRENNES2', 95)",1000049623,UNIVERSITYOFRENNES1,5164,100
580,"('FLORIDAATLANTICUNIVERSITY', 100)",1000041739,"('FLORIDAATLANTICUNIVERSITYHS', 96)",1000007546,FLORIDAATLANTICUNIVERSITY,973,100
1266,"('MAYOMEDICALSCHOOL', 100)",1000048837,"('UMASSMEDICALSCHOOL', 86)",1000048774,MAYOMEDICALSCHOOL,1793,100
576,"('UNIVERSITYOFULSTER', 100)",1000047720,"('UNIVERSITYOFMUENSTER', 89)",1000047661,UNIVERSITYOFULSTER,4762,100
1271,"('MCGILLUNIVERSITY', 100)",1000045936,"('SILLAUNIVERSITY', 84)",1000047347,MCGILLUNIVERSITY,1797,100
1276,"('PEKINGUNIONMEDICALCOLLEGE', 100)",1000048883,"('BJMEDICALCOLLEGE', 79)",1000048824,PEKINGUNIONMEDICALCOLLEGE,2306,100
1277,"('PEKINGUNIVERSITY', 100)",1000047198,"('KINGUNIVERSITY', 93)",1000042608,PEKINGUNIVERSITY,2307,100
1279,"('MCMASTERUNIVERSITY', 100)",SF000001249,"('MCMASTERUNIVERSITY', 100)",SF000001249,MCMASTERUNIVERSITY,1802,100
1280,"('MEDICALCOLLEGEOFGEORGIA', 100)",1000047014,"('MEDICALCOLLEGEOHIO', 78)",1000047015,MEDICALCOLLEGEOFGEORGIA,1823,100
1281,"('MEDICALCOLLEGEOFWISCONSIN', 100)",1000043026,"('MEDICALCOLLEGEWISCONSIN', 96)",1000047017,MEDICALCOLLEGEOFWISCONSIN,1827,100
1283,"('MEHARRYMEDICALCOLLEGE', 100)",1000043030,"('HAYATMEDICALCOLLEGE', 85)",1000049495,MEHARRYMEDICALCOLLEGE,1842,100
659,"('ECOLEPOLYTECHNIQUE', 100)",1000048556,"('ECOLEPOLYTECHNIQUEMONTREAL', 82)",1000048822,ECOLEPOLYTECHNIQUE,5060,100
