,Correct_Univ_1(my.harvard),org_id_1,Correct_Univ_2(my.harvard),org_id_2,Tested_Univ(madris),institution_id,Best_Rating
25,"('UNIVERSITYOFCOLOGNE', 100)",1000047620,"('UNIVERSITYOFBOLOGNA', 89)",1000046170,UNIVERSITYOFCOLOGNE,5074,100
2,"('HARVARDDIVINITYSCHOOL', 100)",1000046757,"('CITYSCHOOL', 81)",1000039221,HARVARDDIVINITYSCHOOL,5029,100
3,"('SANTACLARAUNIVERSITY', 100)",1000044204,"('AIRUNIVERSITY', 83)",1000048899,SANTACLARAUNIVERSITY,2558,100
47,"('DEPAULUNIVERSITY', 100)",SF000001707,"('DEPAULUNIVERSITY', 100)",SF000001707,DEPAULUNIVERSITY,5126,100
5,"('KINGABDULAZIZUNIVERSITY', 100)",SF000000224,"('KINGABDULAZIZUNIVERSITY', 100)",SF000000224,KINGABDULAZIZUNIVERSITY,5035,100
45,"('SANTAMONICACOLLEGE', 100)",1000047316,"('SANTAMONICACOLLEGE', 100)",1000047316,SANTAMONICACOLLEGE,5122,100
8,"('ANKARAUNIVERSITY', 100)",1000049642,"('SAKARYAUNIVERSITY', 91)",1000046018,ANKARAUNIVERSITY,5039,100
23,"('PARACELSUSMEDICALUNIVERSITY', 100)",1000049764,"('ACHMEDICALUNIVERSITY', 81)",1000049843,PARACELSUSMEDICALUNIVERSITY,5073,100
29,"('SAINTJOHNSCOLLEGE', 100)",1000038645,"('SAINTJOHNSCOLLEGE', 100)",1000038645,SAINTJOHNSCOLLEGE,5076,100
11,"('DRAKEUNIVERSITY', 100)",1000041481,"('DREWUNIVERSITY', 90)",1000041489,DRAKEUNIVERSITY,5046,100
12,"('GRINNELLCOLLEGE', 100)",1000041986,"('CORNELLCOLLEGE', 83)",1000041257,GRINNELLCOLLEGE,5049,100
13,"('TERNAMEDICALCOLLEGE', 100)",1000049922,"('GRANTMEDICALCOLLEGE', 84)",1000049336,TERNAMEDICALCOLLEGE,5054,100
7,"('OREGONHEALTHANDSCIENCEUNIVERSITY', 94)",1000043708,"('TRINEUNIVERSITY', 78)",1000044827,OREGONHEALTH&SCIENCEUNIVERSITY,5037,94
35,"('UNIVERSITYDESANMARTINDEPORRES', 91)",1000048971,"('UNIVERSIDADDESANANDRES', 80)",1000047556,UNIVERSIDADSANMARTINDEPORRES,5100,91
32,"('BJMEDICALCOLLEGE', 91)",1000048824,"('NRSMEDICALCOLLEGE', 88)",1000049267,JSSMEDICALCOLLEGE,5090,91
