DEGREE ID,DEGREE DESCR
1,AA
2,AB      
3,AM      
4,AS
5,BA      
6,BCD
7,BCE    
8,Bch
9,BDS    
10,BEE       
11,BFA
12,BH
13,BMA
14,BME       
15,BMS       
16,BS      
17,BSc     
18,BSEE
19,BSI       
20,Cert
21,Certificate
22,DCD
23,DDS    
24,DEM
25,DMD
26,DMSc
27,DSc
28,EdM     
29,ENG
30,JD
31,LDS       
32,MA
33,MAT    
34,MBA
35,MBD    
36,MD
37,MDiv
38,MDS    
39,MEd
40,MH 
41,MM      
42,MMSc
43,MPA
44,MPH
45,MPhil
46,MPP
47,MS
48,MSc     
49,MSD
50,MSED
51,MSS    
52,ND 
53,Non-degree
54,Other
55,Other Degrees
56,PH
57,Ph D
58,PhD
59,SB      
60,ScB     
61,SM      
62,SP      
63,TAN
64,Undetermined
65,MTS
66,LLB
67,DPhil
68,BSE
69,MSE
70,BSN
71,RN
72,MSEE
74,MFA
75,DO
76,PharmD
77,MSW
78,MS-MBA
79,MBBCh
80,MHA
81,BE
82,MBioethics
85,MSt
86,BSW
87,MBChB
88,BTech
89,MB BChir
91,BSN
94,DC
95,DHSc
96,MBI
97,BHS
98,BPhil
99,BL
100,ML
101,LLB
102,LLM
103,MHQS
105,BVM
106,MVM
110,MHAP
111,MHS
114,BMSc
115,OD
117,BBA
118,BCom
119,BPH
120,BAS
121,
73,MBBS
90,BMBCh
107,DMSc Oral Biology
108,MMSc Dental Education
109,MUDr
112,MIndS
113,BPharm
